  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4410                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.067     Re =     0.309 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -7.000  -0.3473   0.06837   0.06573  -0.0575   0.9853   0.0456
  -6.500  -0.2839   0.05264   0.04971  -0.0818   0.9754   0.0515
  -6.000  -0.2256   0.03902   0.03545  -0.0960   0.9640   0.0582
  -5.000  -0.0953   0.01597   0.00925  -0.1067   0.9499   0.0439
  -4.500  -0.0298   0.01439   0.00754  -0.1086   0.9411   0.0507
  -4.000   0.0327   0.01310   0.00627  -0.1098   0.9309   0.0600
  -3.500   0.0907   0.01210   0.00525  -0.1098   0.9178   0.0736
  -3.000   0.1475   0.01129   0.00447  -0.1096   0.9030   0.0945
  -2.500   0.2026   0.01060   0.00386  -0.1091   0.8858   0.1285
  -2.000   0.2576   0.01003   0.00342  -0.1085   0.8668   0.1831
  -1.500   0.3122   0.00953   0.00312  -0.1080   0.8459   0.2633
  -1.000   0.3659   0.00891   0.00288  -0.1075   0.8230   0.4003
  -0.500   0.4176   0.00740   0.00287  -0.1055   0.7983   0.9668
  -0.000   0.4781   0.00748   0.00267  -0.1061   0.7709   1.0000
   0.500   0.5316   0.00766   0.00259  -0.1053   0.7418   1.0000
   1.000   0.5849   0.00789   0.00258  -0.1045   0.7121   1.0000
   1.500   0.6382   0.00816   0.00265  -0.1038   0.6827   1.0000
   2.000   0.6913   0.00847   0.00278  -0.1031   0.6546   1.0000
   2.500   0.7445   0.00882   0.00296  -0.1024   0.6288   1.0000
   3.000   0.7977   0.00918   0.00321  -0.1018   0.6046   1.0000
   3.500   0.8509   0.00956   0.00351  -0.1012   0.5828   1.0000
   4.000   0.9039   0.00997   0.00385  -0.1007   0.5622   1.0000
   4.500   0.9566   0.01037   0.00423  -0.1000   0.5415   1.0000
   5.000   1.0079   0.01077   0.00463  -0.0991   0.5168   1.0000
   5.500   1.0571   0.01119   0.00500  -0.0978   0.4849   1.0000
   6.000   1.1062   0.01165   0.00546  -0.0965   0.4550   1.0000
   6.500   1.1542   0.01213   0.00598  -0.0951   0.4200   1.0000
   7.000   1.1994   0.01277   0.00656  -0.0932   0.3703   1.0000
   7.500   1.2361   0.01403   0.00747  -0.0901   0.2831   1.0000
   8.000   1.2575   0.01664   0.00927  -0.0852   0.1464   1.0000
   8.500   1.2762   0.01935   0.01147  -0.0798   0.0726   1.0000
   9.000   1.2970   0.02140   0.01348  -0.0744   0.0535   1.0000
   9.500   1.3121   0.02376   0.01585  -0.0687   0.0447   1.0000
  10.000   1.3270   0.02628   0.01848  -0.0636   0.0389   1.0000
  10.500   1.3426   0.02894   0.02127  -0.0593   0.0348   1.0000
  11.000   1.3550   0.03210   0.02460  -0.0551   0.0316   1.0000
  11.500   1.3646   0.03578   0.02834  -0.0513   0.0292   1.0000
  12.000   1.3795   0.03917   0.03195  -0.0483   0.0269   1.0000
  12.500   1.3930   0.04299   0.03585  -0.0452   0.0252   1.0000
  13.000   1.4068   0.04685   0.03998  -0.0427   0.0236   1.0000
  13.500   1.4257   0.05055   0.04368  -0.0402   0.0221   1.0000
  14.000   1.4293   0.05576   0.04938  -0.0380   0.0212   1.0000
  14.500   1.4331   0.06111   0.05505  -0.0364   0.0202   1.0000
  15.000   1.4405   0.06610   0.06017  -0.0352   0.0194   1.0000
  15.500   1.4281   0.07388   0.06839  -0.0347   0.0189   1.0000
  16.000   1.4025   0.08380   0.07884  -0.0363   0.0186   1.0000
  16.500   1.3718   0.09537   0.09089  -0.0399   0.0185   1.0000
  17.000   1.3371   0.10865   0.10464  -0.0459   0.0185   1.0000
  17.500   1.2994   0.12390   0.12031  -0.0546   0.0185   1.0000
  18.000   1.2613   0.14096   0.13773  -0.0660   0.0187   1.0000
  18.500   1.2269   0.15904   0.15608  -0.0789   0.0190   1.0000
  19.000   1.0936   0.23326   0.23044  -0.1263   0.0318   1.0000
  19.500   1.1113   0.23812   0.23534  -0.1287   0.0301   1.0000
  20.000   1.1187   0.24866   0.24585  -0.1370   0.0283   1.0000
